You entered a buffer length of 20,,x_20,y_20_up,z_20,z_20_up,,,,,,,,,,,,y_100
Average X value:,-0.108271, Average Y value:,0.375102, Average Z value:,0.235451, Max X values:,0.136666,-0.191113, Max Y values:,1.207044,-0.006775, Max Z values:,0.136666,-0.191113,,,1.005236
Average X value:,-0.12176, Average Y value:,0.328249, Average Z value:,0.228035, Max X values:,0.08637,-0.191113, Max Y values:,1.052982,-0.006775, Max Z values:,0.08637,-0.191113,,,1.002178
Average X value:,-0.131398, Average Y value:,0.295892, Average Z value:,0.222755, Max X values:,-0.001892,-0.191113, Max Y values:,0.924922,-0.006775, Max Z values:,-0.001892,-0.191113,,,0.998526
Average X value:,-0.135934, Average Y value:,0.276018, Average Z value:,0.219642, Max X values:,-0.026064,-0.191113, Max Y values:,0.795764,-0.006775, Max Z values:,-0.026064,-0.191113,,,0.994553
Average X value:,-0.138992, Average Y value:,0.270713, Average Z value:,0.220558, Max X values:,-0.026918,-0.191113, Max Y values:,0.693829,-0.006775, Max Z values:,-0.026918,-0.191113,,,0.990187
Average X value:,-0.139846, Average Y value:,0.280535, Average Z value:,0.221858, Max X values:,-0.044009,-0.191113, Max Y values:,0.890252,-0.006775, Max Z values:,-0.044009,-0.191113,,,0.985592
Average X value:,-0.13763, Average Y value:,0.304218, Average Z value:,0.223024, Max X values:,-0.023866,-0.191113, Max Y values:,1.061527,-0.006775, Max Z values:,-0.023866,-0.191113,,,0.981346
Average X value:,-0.133034, Average Y value:,0.339773, Average Z value:,0.224348, Max X values:,-0.023866,-0.191113, Max Y values:,1.184215,-0.006775, Max Z values:,-0.023866,-0.191113,,,0.977623
Average X value:,-0.12422, Average Y value:,0.387713, Average Z value:,0.227748, Max X values:,0.027162,-0.191113, Max Y values:,1.330831,-0.006775, Max Z values:,0.027162,-0.191113,,,0.974008
Average X value:,-0.109424, Average Y value:,0.448727, Average Z value:,0.234725, Max X values:,0.1645,-0.191113, Max Y values:,1.515901,-0.006775, Max Z values:,0.1645,-0.191113,,,0.971043
Average X value:,-0.094122, Average Y value:,0.515565, Average Z value:,0.242996, Max X values:,0.1645,-0.191113, Max Y values:,1.592321,-0.006775, Max Z values:,0.1645,-0.191113,,,0.968836
Average X value:,-0.082952, Average Y value:,0.588848, Average Z value:,0.252109, Max X values:,0.1645,-0.191113, Max Y values:,1.671184,-0.006775, Max Z values:,0.1645,-0.191113,,,0.967121
Average X value:,-0.070378, Average Y value:,0.67144, Average Z value:,0.260953, Max X values:,0.1645,-0.191113, Max Y values:,1.812672,-0.006775, Max Z values:,0.1645,-0.191113,,,0.965932
Average X value:,-0.050626, Average Y value:,0.764952, Average Z value:,0.269566, Max X values:,0.219801,-0.191113, Max Y values:,1.978331,-0.006775, Max Z values:,0.219801,-0.191113,,,0.96531
Average X value:,-0.02983, Average Y value:,0.867015, Average Z value:,0.276964, Max X values:,0.247879,-0.191113, Max Y values:,2.101264,-0.006775, Max Z values:,0.247879,-0.191113,,,0.964967
Average X value:,-0.011353, Average Y value:,0.975292, Average Z value:,0.282531, Max X values:,0.247879,-0.191113, Max Y values:,2.185009,-0.006775, Max Z values:,0.247879,-0.191113,,,0.965102
Average X value:,0.005475, Average Y value:,1.088952, Average Z value:,0.28695, Max X values:,0.247879,-0.176463, Max Y values:,2.266435,0.011903, Max Z values:,0.247879,-0.176463,,,0.966022
Average X value:,0.019929, Average Y value:,1.202466, Average Z value:,0.292083, Max X values:,0.247879,-0.171824, Max Y values:,2.282183,0.045596, Max Z values:,0.247879,-0.171824,,,0.967597
Average X value:,0.032113, Average Y value:,1.311555, Average Z value:,0.299432, Max X values:,0.247879,-0.171824, Max Y values:,2.282183,0.086248, Max Z values:,0.247879,-0.171824,,,0.969311
Average X value:,0.043783, Average Y value:,1.411347, Average Z value:,0.30846, Max X values:,0.247879,-0.159861, Max Y values:,2.282183,0.152414, Max Z values:,0.247879,-0.159861,,,0.971047
Average X value:,0.054764, Average Y value:,1.498096, Average Z value:,0.318464, Max X values:,0.247879,-0.133126, Max Y values:,2.282183,0.269975, Max Z values:,0.247879,-0.133126,,,0.972675
Average X value:,0.064561, Average Y value:,1.572288, Average Z value:,0.328487, Max X values:,0.247879,-0.106391, Max Y values:,2.282183,0.405848, Max Z values:,0.247879,-0.106391,,,0.974681
Average X value:,0.072063, Average Y value:,1.630574, Average Z value:,0.337887, Max X values:,0.247879,-0.092596, Max Y values:,2.282183,0.527437, Max Z values:,0.247879,-0.092596,,,0.977789
Average X value:,0.080028, Average Y value:,1.67365, Average Z value:,0.344955, Max X values:,0.247879,-0.087225, Max Y values:,2.282183,0.689678, Max Z values:,0.247879,-0.087225,,,0.981813
Average X value:,0.0867, Average Y value:,1.700324, Average Z value:,0.348343, Max X values:,0.247879,-0.044009, Max Y values:,2.282183,0.890252, Max Z values:,0.247879,-0.044009,,,0.985008
Average X value:,0.091021, Average Y value:,1.709986, Average Z value:,0.34993, Max X values:,0.247879,-0.030336, Max Y values:,2.282183,1.061527, Max Z values:,0.247879,-0.030336,,,0.988239
Average X value:,0.092755, Average Y value:,1.704895, Average Z value:,0.350662, Max X values:,0.247879,-0.030336, Max Y values:,2.282183,0.959714, Max Z values:,0.247879,-0.030336,,,0.991826
Average X value:,0.092767, Average Y value:,1.686584, Average Z value:,0.351767, Max X values:,0.247879,-0.030092, Max Y values:,2.282183,0.817982, Max Z values:,0.247879,-0.030092,,,0.995781
Average X value:,0.087896, Average Y value:,1.65441, Average Z value:,0.351962, Max X values:,0.247879,-0.070256, Max Y values:,2.282183,0.687359, Max Z values:,0.247879,-0.070256,,,1.000281
Average X value:,0.072947, Average Y value:,1.606952, Average Z value:,0.350192, Max X values:,0.247879,-0.134469, Max Y values:,2.282183,0.566746, Max Z values:,0.247879,-0.134469,,,1.004162
Average X value:,0.056607, Average Y value:,1.551071, Average Z value:,0.346426, Max X values:,0.247879,-0.173045, Max Y values:,2.282183,0.474699, Max Z values:,0.247879,-0.173045,,,1.007229
Average X value:,0.044162, Average Y value:,1.485979, Average Z value:,0.342752, Max X values:,0.247879,-0.185985, Max Y values:,2.282183,0.369346, Max Z values:,0.247879,-0.185985,,,1.009063
Average X value:,0.031698, Average Y value:,1.410468, Average Z value:,0.338723, Max X values:,0.247879,-0.185985, Max Y values:,2.282183,0.302448, Max Z values:,0.247879,-0.185985,,,1.010119
Average X value:,0.01385, Average Y value:,1.321303, Average Z value:,0.332936, Max X values:,0.247879,-0.185985, Max Y values:,2.282183,0.195019, Max Z values:,0.247879,-0.185985,,,1.011774
Average X value:,-0.007166, Average Y value:,1.222731, Average Z value:,0.327455, Max X values:,0.191723,-0.185985, Max Y values:,2.282183,0.12983, Max Z values:,0.191723,-0.185985,,,1.014913
