You entered a buffer length of 100,x_100,,y_100_sideways,,z_100_sideways,,,,,,,,,
Average X value:,-0.067551, Average Y value:,0.979873, Average Z value:,0.250217, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.069711, Average Y value:,0.980038, Average Z value:,0.249517, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.070494, Average Y value:,0.980081, Average Z value:,0.248609, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.069892, Average Y value:,0.980206, Average Z value:,0.248283, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.067817, Average Y value:,0.980225, Average Z value:,0.248676, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.06423, Average Y value:,0.980199, Average Z value:,0.24905, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.058992, Average Y value:,0.98049, Average Z value:,0.249206, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.052508, Average Y value:,0.980264, Average Z value:,0.249133, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.044369, Average Y value:,0.980129, Average Z value:,0.248816, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.036216, Average Y value:,0.981417, Average Z value:,0.248193, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.027538, Average Y value:,0.981377, Average Z value:,0.249015, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.017308, Average Y value:,0.981133, Average Z value:,0.249338, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,-0.006665, Average Y value:,0.980905, Average Z value:,0.249302, Max X values:,0.585302,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.585302,-0.801257
Average X value:,0.004112, Average Y value:,0.982014, Average Z value:,0.248765, Max X values:,0.632912,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.632912,-0.801257
Average X value:,0.014574, Average Y value:,0.9823, Average Z value:,0.247973, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.662089,-0.801257
Average X value:,0.024348, Average Y value:,0.982639, Average Z value:,0.247394, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.662089,-0.801257
Average X value:,0.03234, Average Y value:,0.982361, Average Z value:,0.247085, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.662089,-0.801257
Average X value:,0.037961, Average Y value:,0.983151, Average Z value:,0.248013, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.662089,-0.801257
Average X value:,0.043134, Average Y value:,0.982605, Average Z value:,0.248898, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.662089,-0.801257
Average X value:,0.047712, Average Y value:,0.983078, Average Z value:,0.249365, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.662089,-0.801257
Average X value:,0.052287, Average Y value:,0.982938, Average Z value:,0.248989, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.662089,-0.801257
