You entered a buffer length of 20,x,,y_20_static,,z_20_static,,,,,,,,,
Average X value:,-0.000824, Average Y value:,0.984746, Average Z value:,0.215107, Max X values:,0.001892,-0.002869, Max Y values:,0.986816,0.983397, Max Z values:,0.001892,-0.002869
Average X value:,-0.000971, Average Y value:,0.984728, Average Z value:,0.215095, Max X values:,0.001892,-0.003235, Max Y values:,0.986816,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.000983, Average Y value:,0.984838, Average Z value:,0.21518, Max X values:,0.001892,-0.003235, Max Y values:,0.986816,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.001038, Average Y value:,0.984893, Average Z value:,0.215107, Max X values:,0.001892,-0.003235, Max Y values:,0.986816,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.000983, Average Y value:,0.984899, Average Z value:,0.215327, Max X values:,0.001892,-0.003235, Max Y values:,0.986816,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.001141, Average Y value:,0.98482, Average Z value:,0.21529, Max X values:,0.001892,-0.003235, Max Y values:,0.986816,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.001166, Average Y value:,0.984777, Average Z value:,0.21526, Max X values:,0.001892,-0.003235, Max Y values:,0.986816,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.001263, Average Y value:,0.984752, Average Z value:,0.215144, Max X values:,0.001892,-0.003235, Max Y values:,0.986327,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.001215, Average Y value:,0.984777, Average Z value:,0.215156, Max X values:,0.001892,-0.003235, Max Y values:,0.986327,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.00116, Average Y value:,0.984765, Average Z value:,0.215119, Max X values:,0.001892,-0.003235, Max Y values:,0.986327,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.001019, Average Y value:,0.984844, Average Z value:,0.215101, Max X values:,0.001892,-0.003235, Max Y values:,0.986327,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.00094, Average Y value:,0.98474, Average Z value:,0.21501, Max X values:,0.001892,-0.003235, Max Y values:,0.986327,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.000946, Average Y value:,0.984844, Average Z value:,0.21501, Max X values:,0.001892,-0.003235, Max Y values:,0.986327,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.001001, Average Y value:,0.984905, Average Z value:,0.21515, Max X values:,0.001892,-0.003235, Max Y values:,0.986327,0.983397, Max Z values:,0.001892,-0.003235
Average X value:,-0.001093, Average Y value:,0.984911, Average Z value:,0.215309, Max X values:,0.001892,-0.003968, Max Y values:,0.986327,0.983397, Max Z values:,0.001892,-0.003968
Average X value:,-0.001117, Average Y value:,0.984929, Average Z value:,0.215333, Max X values:,0.001892,-0.003968, Max Y values:,0.986327,0.983397, Max Z values:,0.001892,-0.003968
Average X value:,-0.001178, Average Y value:,0.984911, Average Z value:,0.215193, Max X values:,0.001892,-0.003968, Max Y values:,0.986327,0.983397, Max Z values:,0.001892,-0.003968
Average X value:,-0.001373, Average Y value:,0.984942, Average Z value:,0.215217, Max X values:,0.000793,-0.003968, Max Y values:,0.986327,0.983397, Max Z values:,0.000793,-0.003968
Average X value:,-0.001209, Average Y value:,0.985033, Average Z value:,0.215193, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.983397, Max Z values:,0.001282,-0.003968
Average X value:,-0.001227, Average Y value:,0.985058, Average Z value:,0.215193, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.983397, Max Z values:,0.001282,-0.003968
Average X value:,-0.001209, Average Y value:,0.985094, Average Z value:,0.215327, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.983397, Max Z values:,0.001282,-0.003968
Average X value:,-0.001007, Average Y value:,0.985039, Average Z value:,0.215339, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.983397, Max Z values:,0.001282,-0.003968
Average X value:,-0.000885, Average Y value:,0.984997, Average Z value:,0.215254, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.983397, Max Z values:,0.001282,-0.003968
Average X value:,-0.000812, Average Y value:,0.985003, Average Z value:,0.215424, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.983397, Max Z values:,0.001282,-0.003968
Average X value:,-0.000836, Average Y value:,0.985009, Average Z value:,0.215406, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.983397, Max Z values:,0.001282,-0.003968
Average X value:,-0.000714, Average Y value:,0.985009, Average Z value:,0.215455, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.983397, Max Z values:,0.001282,-0.003968
Average X value:,-0.0008, Average Y value:,0.985076, Average Z value:,0.215412, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.983397, Max Z values:,0.001282,-0.003968
Average X value:,-0.00072, Average Y value:,0.984881, Average Z value:,0.215449, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.003968
Average X value:,-0.000665, Average Y value:,0.984832, Average Z value:,0.215351, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.003968
Average X value:,-0.000781, Average Y value:,0.984771, Average Z value:,0.215241, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.003968
Average X value:,-0.000812, Average Y value:,0.984679, Average Z value:,0.215327, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.003968
Average X value:,-0.000928, Average Y value:,0.984722, Average Z value:,0.215333, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.003968
Average X value:,-0.00097, Average Y value:,0.984612, Average Z value:,0.215266, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.003968
Average X value:,-0.000952, Average Y value:,0.984551, Average Z value:,0.215199, Max X values:,0.001282,-0.003968, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.003968
Average X value:,-0.000763, Average Y value:,0.984594, Average Z value:,0.21507, Max X values:,0.001282,-0.002014, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.002014
Average X value:,-0.000775, Average Y value:,0.984637, Average Z value:,0.215107, Max X values:,0.001282,-0.002014, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.002014
Average X value:,-0.000745, Average Y value:,0.984691, Average Z value:,0.215125, Max X values:,0.001282,-0.002014, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.002014
Average X value:,-0.000726, Average Y value:,0.984655, Average Z value:,0.215205, Max X values:,0.001282,-0.002014, Max Y values:,0.986571,0.982421, Max Z values:,0.001282,-0.002014
Average X value:,-0.000684, Average Y value:,0.984716, Average Z value:,0.215272, Max X values:,0.002136,-0.002014, Max Y values:,0.987792,0.982421, Max Z values:,0.002136,-0.002014
Average X value:,-0.000671, Average Y value:,0.984862, Average Z value:,0.215284, Max X values:,0.002136,-0.002014, Max Y values:,0.987792,0.982421, Max Z values:,0.002136,-0.002014
Average X value:,-0.000623, Average Y value:,0.984759, Average Z value:,0.215162, Max X values:,0.002136,-0.002014, Max Y values:,0.987792,0.982055, Max Z values:,0.002136,-0.002014
Average X value:,-0.000684, Average Y value:,0.984911, Average Z value:,0.215156, Max X values:,0.002136,-0.002014, Max Y values:,0.987792,0.982055, Max Z values:,0.002136,-0.002014
Average X value:,-0.000745, Average Y value:,0.984661, Average Z value:,0.215138, Max X values:,0.002136,-0.002014, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.002014
Average X value:,-0.000781, Average Y value:,0.984691, Average Z value:,0.215003, Max X values:,0.002136,-0.002014, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.002014
Average X value:,-0.000787, Average Y value:,0.984746, Average Z value:,0.214863, Max X values:,0.002136,-0.002014, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.002014
Average X value:,-0.000854, Average Y value:,0.984875, Average Z value:,0.214881, Max X values:,0.002136,-0.002014, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.002014
Average X value:,-0.000922, Average Y value:,0.984698, Average Z value:,0.214881, Max X values:,0.002136,-0.003235, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003235
Average X value:,-0.000897, Average Y value:,0.984734, Average Z value:,0.214912, Max X values:,0.002136,-0.003235, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003235
Average X value:,-0.001111, Average Y value:,0.984917, Average Z value:,0.214979, Max X values:,0.002136,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003357
Average X value:,-0.00105, Average Y value:,0.984985, Average Z value:,0.215101, Max X values:,0.002136,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003357
Average X value:,-0.001129, Average Y value:,0.984942, Average Z value:,0.215009, Max X values:,0.002136,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003357
Average X value:,-0.001117, Average Y value:,0.985046, Average Z value:,0.21504, Max X values:,0.002136,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003357
Average X value:,-0.001105, Average Y value:,0.985137, Average Z value:,0.21515, Max X values:,0.002136,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003357
Average X value:,-0.000995, Average Y value:,0.985168, Average Z value:,0.215186, Max X values:,0.002136,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003357
Average X value:,-0.001013, Average Y value:,0.985076, Average Z value:,0.215199, Max X values:,0.002136,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003357
Average X value:,-0.001123, Average Y value:,0.984978, Average Z value:,0.215132, Max X values:,0.002136,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003357
Average X value:,-0.001062, Average Y value:,0.984929, Average Z value:,0.215187, Max X values:,0.002136,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003357
Average X value:,-0.001007, Average Y value:,0.985015, Average Z value:,0.215034, Max X values:,0.002136,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.002136,-0.003357
Average X value:,-0.001154, Average Y value:,0.984838, Average Z value:,0.21493, Max X values:,0.001038,-0.003357, Max Y values:,0.987792,0.980101, Max Z values:,0.001038,-0.003357
Average X value:,-0.001184, Average Y value:,0.984618, Average Z value:,0.215034, Max X values:,0.001038,-0.003357, Max Y values:,0.986816,0.980101, Max Z values:,0.001038,-0.003357
Average X value:,-0.001288, Average Y value:,0.984752, Average Z value:,0.214918, Max X values:,0.000305,-0.003357, Max Y values:,0.986816,0.980101, Max Z values:,0.000305,-0.003357
Average X value:,-0.001282, Average Y value:,0.984539, Average Z value:,0.214887, Max X values:,0.000305,-0.003357, Max Y values:,0.986816,0.980101, Max Z values:,0.000305,-0.003357
Average X value:,-0.001373, Average Y value:,0.98485, Average Z value:,0.214863, Max X values:,0.000305,-0.003357, Max Y values:,0.986816,0.982299, Max Z values:,0.000305,-0.003357
Average X value:,-0.001325, Average Y value:,0.984697, Average Z value:,0.21493, Max X values:,0.000305,-0.003357, Max Y values:,0.986816,0.982299, Max Z values:,0.000305,-0.003357
Average X value:,-0.001251, Average Y value:,0.984533, Average Z value:,0.215028, Max X values:,0.000305,-0.003357, Max Y values:,0.986816,0.982299, Max Z values:,0.000305,-0.003357
Average X value:,-0.001294, Average Y value:,0.984386, Average Z value:,0.215028, Max X values:,0.000305,-0.003357, Max Y values:,0.986816,0.982299, Max Z values:,0.000305,-0.003357
Average X value:,-0.00116, Average Y value:,0.984581, Average Z value:,0.215034, Max X values:,0.000305,-0.003357, Max Y values:,0.986816,0.982543, Max Z values:,0.000305,-0.003357
Average X value:,-0.001202, Average Y value:,0.984661, Average Z value:,0.214973, Max X values:,0.000305,-0.003357, Max Y values:,0.986816,0.982543, Max Z values:,0.000305,-0.003357
Average X value:,-0.001068, Average Y value:,0.984539, Average Z value:,0.215046, Max X values:,0.000305,-0.003357, Max Y values:,0.986327,0.982543, Max Z values:,0.000305,-0.003357
Average X value:,-0.001172, Average Y value:,0.984472, Average Z value:,0.214918, Max X values:,0.000305,-0.003357, Max Y values:,0.986327,0.982543, Max Z values:,0.000305,-0.003357
Average X value:,-0.001111, Average Y value:,0.984417, Average Z value:,0.214881, Max X values:,0.000305,-0.003357, Max Y values:,0.986327,0.981933, Max Z values:,0.000305,-0.003357
Average X value:,-0.001074, Average Y value:,0.984313, Average Z value:,0.214918, Max X values:,0.000305,-0.003357, Max Y values:,0.986327,0.981933, Max Z values:,0.000305,-0.003357
Average X value:,-0.001025, Average Y value:,0.984337, Average Z value:,0.214894, Max X values:,0.000305,-0.003357, Max Y values:,0.986327,0.981933, Max Z values:,0.000305,-0.003357
Average X value:,-0.001117, Average Y value:,0.984423, Average Z value:,0.214814, Max X values:,0.000305,-0.003357, Max Y values:,0.986327,0.981933, Max Z values:,0.000305,-0.003357
Average X value:,-0.00116, Average Y value:,0.984362, Average Z value:,0.214845, Max X values:,0.000305,-0.003357, Max Y values:,0.986327,0.981933, Max Z values:,0.000305,-0.003357
Average X value:,-0.000958, Average Y value:,0.984398, Average Z value:,0.214765, Max X values:,0.000671,-0.002503, Max Y values:,0.986327,0.981933, Max Z values:,0.000671,-0.002503
Average X value:,-0.001074, Average Y value:,0.984398, Average Z value:,0.214802, Max X values:,0.000671,-0.002503, Max Y values:,0.986327,0.981933, Max Z values:,0.000671,-0.002503
Average X value:,-0.001135, Average Y value:,0.984252, Average Z value:,0.214875, Max X values:,0.000671,-0.002503, Max Y values:,0.986327,0.981933, Max Z values:,0.000671,-0.002503
Average X value:,-0.001093, Average Y value:,0.984325, Average Z value:,0.214765, Max X values:,0.000671,-0.002503, Max Y values:,0.986327,0.981933, Max Z values:,0.000671,-0.002503
Average X value:,-0.00105, Average Y value:,0.984313, Average Z value:,0.214594, Max X values:,0.000671,-0.002503, Max Y values:,0.986327,0.981933, Max Z values:,0.000671,-0.002503
Average X value:,-0.001074, Average Y value:,0.984441, Average Z value:,0.214747, Max X values:,0.000671,-0.002503, Max Y values:,0.987304,0.981933, Max Z values:,0.000671,-0.002503
Average X value:,-0.001093, Average Y value:,0.984472, Average Z value:,0.214802, Max X values:,0.000671,-0.002503, Max Y values:,0.987304,0.981933, Max Z values:,0.000671,-0.002503
Average X value:,-0.000995, Average Y value:,0.984386, Average Z value:,0.214839, Max X values:,0.000671,-0.002503, Max Y values:,0.987304,0.981933, Max Z values:,0.000671,-0.002503
Average X value:,-0.001074, Average Y value:,0.984423, Average Z value:,0.214698, Max X values:,0.000671,-0.002503, Max Y values:,0.987304,0.981933, Max Z values:,0.000671,-0.002503
Average X value:,-0.001129, Average Y value:,0.984527, Average Z value:,0.21468, Max X values:,0.000671,-0.002503, Max Y values:,0.987304,0.981933, Max Z values:,0.000671,-0.002503
Average X value:,-0.001154, Average Y value:,0.984606, Average Z value:,0.214601, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.981933, Max Z values:,0.000671,-0.002625
Average X value:,-0.001093, Average Y value:,0.984533, Average Z value:,0.214625, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.981933, Max Z values:,0.000671,-0.002625
Average X value:,-0.001044, Average Y value:,0.984563, Average Z value:,0.214674, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.981933, Max Z values:,0.000671,-0.002625
Average X value:,-0.001032, Average Y value:,0.984594, Average Z value:,0.214643, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.981933, Max Z values:,0.000671,-0.002625
Average X value:,-0.000965, Average Y value:,0.984551, Average Z value:,0.214777, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.981933, Max Z values:,0.000671,-0.002625
Average X value:,-0.000983, Average Y value:,0.984636, Average Z value:,0.214863, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.983153, Max Z values:,0.000671,-0.002625
Average X value:,-0.001013, Average Y value:,0.984722, Average Z value:,0.214741, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.983153, Max Z values:,0.000671,-0.002625
Average X value:,-0.001062, Average Y value:,0.984685, Average Z value:,0.214698, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.983153, Max Z values:,0.000671,-0.002625
Average X value:,-0.00108, Average Y value:,0.984588, Average Z value:,0.214777, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.983153, Max Z values:,0.000671,-0.002625
Average X value:,-0.001007, Average Y value:,0.984722, Average Z value:,0.214881, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.983153, Max Z values:,0.000671,-0.002625
Average X value:,-0.001062, Average Y value:,0.984813, Average Z value:,0.214979, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.983153, Max Z values:,0.000671,-0.002625
Average X value:,-0.001038, Average Y value:,0.984801, Average Z value:,0.214948, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.983153, Max Z values:,0.000671,-0.002625
Average X value:,-0.000946, Average Y value:,0.984777, Average Z value:,0.214997, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.982909, Max Z values:,0.000671,-0.002625
Average X value:,-0.001007, Average Y value:,0.984789, Average Z value:,0.215138, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.982909, Max Z values:,0.000671,-0.002625
Average X value:,-0.000989, Average Y value:,0.984856, Average Z value:,0.215241, Max X values:,0.000671,-0.002625, Max Y values:,0.987304,0.982909, Max Z values:,0.000671,-0.002625
Average X value:,-0.000983, Average Y value:,0.984673, Average Z value:,0.215339, Max X values:,0.000671,-0.002625, Max Y values:,0.986571,0.982909, Max Z values:,0.000671,-0.002625
Average X value:,-0.00108, Average Y value:,0.984759, Average Z value:,0.215418, Max X values:,0.000671,-0.002625, Max Y values:,0.986571,0.982909, Max Z values:,0.000671,-0.002625
Average X value:,-0.001099, Average Y value:,0.984783, Average Z value:,0.215412, Max X values:,0.000671,-0.002625, Max Y values:,0.986571,0.982909, Max Z values:,0.000671,-0.002625
Average X value:,-0.000995, Average Y value:,0.984954, Average Z value:,0.215614, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.000671,-0.002625
Average X value:,-0.000977, Average Y value:,0.98485, Average Z value:,0.215717, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.000671,-0.002625
Average X value:,-0.000885, Average Y value:,0.984826, Average Z value:,0.215644, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.000671,-0.002625
Average X value:,-0.001019, Average Y value:,0.984771, Average Z value:,0.215717, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.000061,-0.002625
Average X value:,-0.001025, Average Y value:,0.984746, Average Z value:,0.215705, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.000061,-0.002625
Average X value:,-0.001087, Average Y value:,0.984765, Average Z value:,0.215656, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.000061,-0.002625
Average X value:,-0.001044, Average Y value:,0.984862, Average Z value:,0.215693, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.000061,-0.002625
Average X value:,-0.001019, Average Y value:,0.984929, Average Z value:,0.215742, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.000061,-0.002625
Average X value:,-0.001007, Average Y value:,0.984887, Average Z value:,0.215766, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.000061,-0.002625
Average X value:,-0.00094, Average Y value:,0.984954, Average Z value:,0.215779, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.000061,-0.002625
Average X value:,-0.000794, Average Y value:,0.984935, Average Z value:,0.215809, Max X values:,0.001038,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.001038,-0.002625
Average X value:,-0.000909, Average Y value:,0.984935, Average Z value:,0.215705, Max X values:,0.001038,-0.002625, Max Y values:,0.98706,0.982909, Max Z values:,0.001038,-0.002625
Average X value:,-0.00105, Average Y value:,0.984765, Average Z value:,0.215675, Max X values:,0.001038,-0.003235, Max Y values:,0.98706,0.982909, Max Z values:,0.001038,-0.003235
Average X value:,-0.001044, Average Y value:,0.984716, Average Z value:,0.215657, Max X values:,0.001038,-0.003235, Max Y values:,0.98706,0.982909, Max Z values:,0.001038,-0.003235
Average X value:,-0.001093, Average Y value:,0.984832, Average Z value:,0.215651, Max X values:,0.001038,-0.003235, Max Y values:,0.98706,0.982909, Max Z values:,0.001038,-0.003235
Average X value:,-0.001087, Average Y value:,0.98485, Average Z value:,0.215681, Max X values:,0.001038,-0.003235, Max Y values:,0.98706,0.982909, Max Z values:,0.001038,-0.003235
Average X value:,-0.00105, Average Y value:,0.98485, Average Z value:,0.215651, Max X values:,0.001038,-0.003235, Max Y values:,0.98706,0.982909, Max Z values:,0.001038,-0.003235
Average X value:,-0.001007, Average Y value:,0.985033, Average Z value:,0.215541, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.982909, Max Z values:,0.001038,-0.003235
Average X value:,-0.001019, Average Y value:,0.985088, Average Z value:,0.215498, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.982909, Max Z values:,0.001038,-0.003235
Average X value:,-0.001001, Average Y value:,0.98507, Average Z value:,0.215577, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.982909, Max Z values:,0.001038,-0.003235
Average X value:,-0.000965, Average Y value:,0.985009, Average Z value:,0.215522, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.982909, Max Z values:,0.001038,-0.003235
Average X value:,-0.000965, Average Y value:,0.985125, Average Z value:,0.215351, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.001038,-0.003235
Average X value:,-0.001032, Average Y value:,0.985119, Average Z value:,0.215474, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.001038,-0.003235
Average X value:,-0.000971, Average Y value:,0.98521, Average Z value:,0.215431, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.001038,-0.003235
Average X value:,-0.001001, Average Y value:,0.985241, Average Z value:,0.215425, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.001038,-0.003235
Average X value:,-0.000971, Average Y value:,0.985198, Average Z value:,0.21537, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.001038,-0.003235
Average X value:,-0.001001, Average Y value:,0.985222, Average Z value:,0.215412, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.001038,-0.003235
Average X value:,-0.000934, Average Y value:,0.985229, Average Z value:,0.215357, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.001038,-0.003235
Average X value:,-0.000952, Average Y value:,0.985168, Average Z value:,0.215455, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.001038,-0.003235
Average X value:,-0.000922, Average Y value:,0.985107, Average Z value:,0.215498, Max X values:,0.001038,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.001038,-0.003235
Average X value:,-0.001001, Average Y value:,0.985094, Average Z value:,0.215418, Max X values:,0.000793,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.000793,-0.003235
Average X value:,-0.000971, Average Y value:,0.985064, Average Z value:,0.215522, Max X values:,0.000793,-0.003235, Max Y values:,0.987304,0.983153, Max Z values:,0.000793,-0.003235
Average X value:,-0.000897, Average Y value:,0.985131, Average Z value:,0.215577, Max X values:,0.000793,-0.002869, Max Y values:,0.987304,0.983642, Max Z values:,0.000793,-0.002869
Average X value:,-0.00091, Average Y value:,0.985271, Average Z value:,0.215516, Max X values:,0.000793,-0.002869, Max Y values:,0.987304,0.983642, Max Z values:,0.000793,-0.002869
Average X value:,-0.000928, Average Y value:,0.985174, Average Z value:,0.215516, Max X values:,0.000793,-0.002869, Max Y values:,0.987304,0.983275, Max Z values:,0.000793,-0.002869
Average X value:,-0.000873, Average Y value:,0.985168, Average Z value:,0.215479, Max X values:,0.000793,-0.002869, Max Y values:,0.987304,0.983275, Max Z values:,0.000793,-0.002869
Average X value:,-0.000885, Average Y value:,0.985155, Average Z value:,0.215498, Max X values:,0.000793,-0.002869, Max Y values:,0.987304,0.983275, Max Z values:,0.000793,-0.002869
Average X value:,-0.000897, Average Y value:,0.985161, Average Z value:,0.215479, Max X values:,0.000793,-0.002869, Max Y values:,0.987426,0.983275, Max Z values:,0.000793,-0.002869
Average X value:,-0.000812, Average Y value:,0.985119, Average Z value:,0.215412, Max X values:,0.000793,-0.002136, Max Y values:,0.987426,0.983275, Max Z values:,0.000793,-0.002136
Average X value:,-0.000885, Average Y value:,0.985033, Average Z value:,0.215315, Max X values:,0.000793,-0.002136, Max Y values:,0.987426,0.983031, Max Z values:,0.000793,-0.002136
Average X value:,-0.000965, Average Y value:,0.984978, Average Z value:,0.21529, Max X values:,0.000427,-0.002136, Max Y values:,0.987426,0.983031, Max Z values:,0.000427,-0.002136
Average X value:,-0.001026, Average Y value:,0.985003, Average Z value:,0.215327, Max X values:,0.000427,-0.002258, Max Y values:,0.987426,0.983031, Max Z values:,0.000427,-0.002258
Average X value:,-0.000977, Average Y value:,0.984978, Average Z value:,0.215333, Max X values:,0.000427,-0.002258, Max Y values:,0.987426,0.983031, Max Z values:,0.000427,-0.002258
Average X value:,-0.000934, Average Y value:,0.984868, Average Z value:,0.215376, Max X values:,0.000427,-0.002258, Max Y values:,0.987426,0.983031, Max Z values:,0.000427,-0.002258
Average X value:,-0.000897, Average Y value:,0.984801, Average Z value:,0.215382, Max X values:,0.000427,-0.002258, Max Y values:,0.987426,0.983031, Max Z values:,0.000427,-0.002258
Average X value:,-0.00091, Average Y value:,0.984874, Average Z value:,0.215528, Max X values:,0.000427,-0.002258, Max Y values:,0.987426,0.983031, Max Z values:,0.000427,-0.002258
Average X value:,-0.000891, Average Y value:,0.984881, Average Z value:,0.215486, Max X values:,0.000427,-0.002258, Max Y values:,0.987426,0.983031, Max Z values:,0.000427,-0.002258
Average X value:,-0.000958, Average Y value:,0.984814, Average Z value:,0.2154, Max X values:,0.000183,-0.002258, Max Y values:,0.987426,0.983031, Max Z values:,0.000183,-0.002258
Average X value:,-0.000922, Average Y value:,0.984929, Average Z value:,0.215339, Max X values:,0.000183,-0.002258, Max Y values:,0.987426,0.983031, Max Z values:,0.000183,-0.002258
Average X value:,-0.001019, Average Y value:,0.984874, Average Z value:,0.2154, Max X values:,0.000061,-0.002258, Max Y values:,0.987426,0.983031, Max Z values:,0.000061,-0.002258
Average X value:,-0.001019, Average Y value:,0.984935, Average Z value:,0.215425, Max X values:,0.000061,-0.002258, Max Y values:,0.987426,0.983031, Max Z values:,0.000061,-0.002258
Average X value:,-0.000977, Average Y value:,0.984795, Average Z value:,0.215425, Max X values:,0.000061,-0.002258, Max Y values:,0.987426,0.982665, Max Z values:,0.000061,-0.002258
Average X value:,-0.000903, Average Y value:,0.984813, Average Z value:,0.215327, Max X values:,0.000061,-0.002258, Max Y values:,0.987426,0.982665, Max Z values:,0.000061,-0.002258
Average X value:,-0.000971, Average Y value:,0.98474, Average Z value:,0.2154, Max X values:,0.000061,-0.002991, Max Y values:,0.987426,0.982665, Max Z values:,0.000061,-0.002991
Average X value:,-0.000922, Average Y value:,0.984838, Average Z value:,0.215437, Max X values:,0.000061,-0.002991, Max Y values:,0.987426,0.982665, Max Z values:,0.000061,-0.002991
