You entered a buffer length of 20,x_20,,y_20_sideways,,z_20_sideways,,,,,,,,,,,x_100
Average X value:,-0.308002, Average Y value:,0.976421, Average Z value:,0.22372, Max X values:,0.253983,-0.652811, Max Y values:,1.038332,0.888787, Max Z values:,0.253983,-0.652811,,-0.000394
Average X value:,-0.297558, Average Y value:,0.974535, Average Z value:,0.216658, Max X values:,0.325765,-0.652811, Max Y values:,1.038332,0.888787, Max Z values:,0.325765,-0.652811,,0.001218
Average X value:,-0.284734, Average Y value:,0.975951, Average Z value:,0.209601, Max X values:,0.325765,-0.652811, Max Y values:,1.038332,0.888787, Max Z values:,0.325765,-0.652811,,0.002615
Average X value:,-0.269859, Average Y value:,0.973912, Average Z value:,0.205249, Max X values:,0.325765,-0.652811, Max Y values:,1.038332,0.888787, Max Z values:,0.325765,-0.652811,,0.0036
Average X value:,-0.250229, Average Y value:,0.978887, Average Z value:,0.202399, Max X values:,0.325765,-0.652811, Max Y values:,1.038332,0.92126, Max Z values:,0.325765,-0.652811,,0.00526
Average X value:,-0.22505, Average Y value:,0.977666, Average Z value:,0.195361, Max X values:,0.325765,-0.652811, Max Y values:,1.038332,0.92126, Max Z values:,0.325765,-0.652811,,0.007371
Average X value:,-0.196649, Average Y value:,0.976799, Average Z value:,0.189886, Max X values:,0.325765,-0.652811, Max Y values:,1.038332,0.92126, Max Z values:,0.325765,-0.652811,,0.009015
Average X value:,-0.163212, Average Y value:,0.976573, Average Z value:,0.188244, Max X values:,0.325765,-0.652811, Max Y values:,1.038332,0.92126, Max Z values:,0.325765,-0.652811,,0.009991
Average X value:,-0.108112, Average Y value:,0.972349, Average Z value:,0.199103, Max X values:,0.556369,-0.652811, Max Y values:,1.038332,0.92126, Max Z values:,0.556369,-0.652811,,0.009511
Average X value:,-0.054459, Average Y value:,0.971409, Average Z value:,0.204145, Max X values:,0.556369,-0.652811, Max Y values:,1.038332,0.92126, Max Z values:,0.556369,-0.652811,,0.009402
Average X value:,-0.008448, Average Y value:,0.971367, Average Z value:,0.207013, Max X values:,0.556369,-0.578221, Max Y values:,1.038332,0.92126, Max Z values:,0.556369,-0.578221,,0.007267
Average X value:,0.026448, Average Y value:,0.972691, Average Z value:,0.208271, Max X values:,0.556369,-0.578221, Max Y values:,1.038332,0.92126, Max Z values:,0.556369,-0.578221,,0.004489
Average X value:,0.060496, Average Y value:,0.973466, Average Z value:,0.208375, Max X values:,0.556369,-0.558811, Max Y values:,1.038332,0.92126, Max Z values:,0.556369,-0.558811,,0.001255
Average X value:,0.090679, Average Y value:,0.974058, Average Z value:,0.209144, Max X values:,0.556369,-0.49472, Max Y values:,1.038332,0.92126, Max Z values:,0.556369,-0.49472,,-0.002378
Average X value:,0.115412, Average Y value:,0.974748, Average Z value:,0.209687, Max X values:,0.556369,-0.41305, Max Y values:,1.038332,0.92126, Max Z values:,0.556369,-0.41305,,-0.005752
Average X value:,0.134469, Average Y value:,0.974162, Average Z value:,0.209382, Max X values:,0.556369,-0.353232, Max Y values:,1.026613,0.92126, Max Z values:,0.556369,-0.353232,,-0.006983
Average X value:,0.149765, Average Y value:,0.974004, Average Z value:,0.211097, Max X values:,0.556369,-0.229079, Max Y values:,1.026613,0.92126, Max Z values:,0.556369,-0.229079,,-0.009601
Average X value:,0.160654, Average Y value:,0.97437, Average Z value:,0.211951, Max X values:,0.556369,-0.097235, Max Y values:,1.026613,0.92126, Max Z values:,0.556369,-0.097235,,-0.013436
Average X value:,0.164964, Average Y value:,0.976531, Average Z value:,0.214405, Max X values:,0.556369,-0.047305, Max Y values:,1.026613,0.92126, Max Z values:,0.556369,-0.047305,,-0.01704
Average X value:,0.162363, Average Y value:,0.976079, Average Z value:,0.21692, Max X values:,0.556369,-0.047305, Max Y values:,1.026613,0.92126, Max Z values:,0.556369,-0.047305,,-0.020935
Average X value:,0.147867, Average Y value:,0.974541, Average Z value:,0.215772, Max X values:,0.556369,-0.047305, Max Y values:,1.026613,0.92126, Max Z values:,0.556369,-0.047305,,-0.024667
Average X value:,0.127889, Average Y value:,0.976128, Average Z value:,0.221303, Max X values:,0.556369,-0.073796, Max Y values:,1.026613,0.92126, Max Z values:,0.556369,-0.073796,,-0.027988
Average X value:,0.112055, Average Y value:,0.974974, Average Z value:,0.224428, Max X values:,0.556369,-0.073796, Max Y values:,1.026613,0.92126, Max Z values:,0.556369,-0.073796,,-0.030718
Average X value:,0.099603, Average Y value:,0.979076, Average Z value:,0.224477, Max X values:,0.556369,-0.073796, Max Y values:,1.026613,0.938717, Max Z values:,0.556369,-0.073796,,-0.03279
Average X value:,0.086272, Average Y value:,0.979222, Average Z value:,0.224367, Max X values:,0.556369,-0.073796, Max Y values:,1.026613,0.938717, Max Z values:,0.556369,-0.073796,,-0.034135
Average X value:,0.074626, Average Y value:,0.980205, Average Z value:,0.22693, Max X values:,0.556369,-0.073796, Max Y values:,1.026613,0.938717, Max Z values:,0.556369,-0.073796,,-0.035393
Average X value:,0.06605, Average Y value:,0.982097, Average Z value:,0.22834, Max X values:,0.556369,-0.073796, Max Y values:,1.026613,0.938717, Max Z values:,0.556369,-0.073796,,-0.036461
Average X value:,0.054813, Average Y value:,0.983751, Average Z value:,0.231649, Max X values:,0.556369,-0.073796, Max Y values:,1.026613,0.938717, Max Z values:,0.556369,-0.073796,,-0.037068
Average X value:,0.026167, Average Y value:,0.985876, Average Z value:,0.222481, Max X values:,0.456021,-0.073796, Max Y values:,1.026613,0.946408, Max Z values:,0.456021,-0.073796,,-0.037264
Average X value:,0.000842, Average Y value:,0.9859, Average Z value:,0.218202, Max X values:,0.267411,-0.073796, Max Y values:,1.026613,0.946408, Max Z values:,0.267411,-0.073796,,-0.036716
Average X value:,-0.014759, Average Y value:,0.985882, Average Z value:,0.216224, Max X values:,0.168284,-0.073796, Max Y values:,1.026613,0.946408, Max Z values:,0.168284,-0.073796,,-0.035765
Average X value:,-0.02289, Average Y value:,0.985699, Average Z value:,0.212977, Max X values:,0.102728,-0.073796, Max Y values:,1.026613,0.946408, Max Z values:,0.102728,-0.073796,,-0.034084
Average X value:,-0.028243, Average Y value:,0.98601, Average Z value:,0.210493, Max X values:,0.044864,-0.073796, Max Y values:,1.026613,0.946408, Max Z values:,0.044864,-0.073796,,-0.031577
Average X value:,-0.028804, Average Y value:,0.986303, Average Z value:,0.209571, Max X values:,0.033632,-0.073796, Max Y values:,1.026613,0.946408, Max Z values:,0.033632,-0.073796,,-0.027944
Average X value:,-0.02784, Average Y value:,0.985656, Average Z value:,0.210926, Max X values:,0.033632,-0.073796, Max Y values:,1.026613,0.946408, Max Z values:,0.033632,-0.073796,,-0.02357
Average X value:,-0.024, Average Y value:,0.983495, Average Z value:,0.211414, Max X values:,0.044864,-0.073796, Max Y values:,1.003296,0.946408, Max Z values:,0.044864,-0.073796,,-0.019048
Average X value:,-0.020753, Average Y value:,0.985729, Average Z value:,0.210517, Max X values:,0.044864,-0.073796, Max Y values:,1.013673,0.946408, Max Z values:,0.044864,-0.073796,,-0.0142
Average X value:,-0.019624, Average Y value:,0.988097, Average Z value:,0.210242, Max X values:,0.044864,-0.073796, Max Y values:,1.013673,0.962278, Max Z values:,0.044864,-0.073796,,-0.008515
Average X value:,-0.018129, Average Y value:,0.989562, Average Z value:,0.208912, Max X values:,0.044864,-0.073796, Max Y values:,1.013673,0.962278, Max Z values:,0.044864,-0.073796,,-0.00228
Average X value:,-0.017457, Average Y value:,0.988934, Average Z value:,0.207367, Max X values:,0.044864,-0.073796, Max Y values:,1.013673,0.962278, Max Z values:,0.044864,-0.073796,,0.002708
Average X value:,-0.016694, Average Y value:,0.988781, Average Z value:,0.207233, Max X values:,0.044864,-0.073796, Max Y values:,1.013673,0.962278, Max Z values:,0.044864,-0.073796,,0.007559
Average X value:,-0.014198, Average Y value:,0.988342, Average Z value:,0.208973, Max X values:,0.044864,-0.073064, Max Y values:,1.013673,0.962278, Max Z values:,0.044864,-0.073064,,
Average X value:,-0.010969, Average Y value:,0.986169, Average Z value:,0.211335, Max X values:,0.044864,-0.073064, Max Y values:,1.013673,0.950559, Max Z values:,0.044864,-0.073064,,
Average X value:,-0.006366, Average Y value:,0.984539, Average Z value:,0.213429, Max X values:,0.044864,-0.073064, Max Y values:,1.013673,0.950559, Max Z values:,0.044864,-0.073064,,
Average X value:,-0.002014, Average Y value:,0.9846, Average Z value:,0.213703, Max X values:,0.044864,-0.050479, Max Y values:,1.013673,0.950559, Max Z values:,0.044864,-0.050479,,
Average X value:,0.002088, Average Y value:,0.985387, Average Z value:,0.21139, Max X values:,0.044864,-0.050479, Max Y values:,1.013673,0.950559, Max Z values:,0.044864,-0.050479,,
Average X value:,0.002649, Average Y value:,0.985668, Average Z value:,0.209968, Max X values:,0.044864,-0.050479, Max Y values:,1.013673,0.950559, Max Z values:,0.044864,-0.050479,,
Average X value:,0.00108, Average Y value:,0.984789, Average Z value:,0.212177, Max X values:,0.044864,-0.069645, Max Y values:,1.013673,0.950559, Max Z values:,0.044864,-0.069645,,
Average X value:,-0.000403, Average Y value:,0.983813, Average Z value:,0.217835, Max X values:,0.044864,-0.069645, Max Y values:,1.013673,0.950559, Max Z values:,0.044864,-0.069645,,
Average X value:,0.002155, Average Y value:,0.984856, Average Z value:,0.217518, Max X values:,0.044864,-0.069645, Max Y values:,1.013673,0.950559, Max Z values:,0.044864,-0.069645,,
