You entered a buffer length of 20,x_20,,y_20_sideways,,z_20_sideways,,,,,,,,,,,x_100
Average X value:,0.398419, Average Y value:,0.984063, Average Z value:,0.243863, Max X values:,0.754624,-0.179882, Max Y values:,1.026003,0.939327, Max Z values:,0.754624,-0.179882,,-0.058038
Average X value:,0.412183, Average Y value:,0.981847, Average Z value:,0.250961, Max X values:,0.754624,-0.056705, Max Y values:,1.026003,0.939327, Max Z values:,0.754624,-0.056705,,-0.063543
Average X value:,0.41457, Average Y value:,0.982354, Average Z value:,0.254904, Max X values:,0.754624,-0.008973, Max Y values:,1.026003,0.939327, Max Z values:,0.754624,-0.008973,,-0.067551
Average X value:,0.407673, Average Y value:,0.98286, Average Z value:,0.254471, Max X values:,0.754624,-0.087957, Max Y values:,1.026003,0.940792, Max Z values:,0.754624,-0.087957,,-0.069711
Average X value:,0.389959, Average Y value:,0.982525, Average Z value:,0.253684, Max X values:,0.754624,-0.190991, Max Y values:,1.026003,0.940792, Max Z values:,0.754624,-0.190991,,-0.070494
Average X value:,0.358585, Average Y value:,0.98576, Average Z value:,0.251242, Max X values:,0.754624,-0.314777, Max Y values:,1.026003,0.941769, Max Z values:,0.754624,-0.314777,,-0.069892
Average X value:,0.316407, Average Y value:,0.986797, Average Z value:,0.246792, Max X values:,0.754624,-0.456754, Max Y values:,1.026003,0.941769, Max Z values:,0.754624,-0.456754,,-0.067817
Average X value:,0.265513, Average Y value:,0.987383, Average Z value:,0.240389, Max X values:,0.754624,-0.521333, Max Y values:,1.026003,0.94946, Max Z values:,0.754624,-0.521333,,-0.06423
Average X value:,0.204187, Average Y value:,0.987841, Average Z value:,0.235122, Max X values:,0.754624,-0.615943, Max Y values:,1.026003,0.94946, Max Z values:,0.754624,-0.615943,,-0.058992
Average X value:,0.132467, Average Y value:,0.985888, Average Z value:,0.230654, Max X values:,0.754624,-0.731795, Max Y values:,1.01819,0.94946, Max Z values:,0.754624,-0.731795,,-0.052508
Average X value:,0.051749, Average Y value:,0.985711, Average Z value:,0.22596, Max X values:,0.713728,-0.859733, Max Y values:,1.01819,0.94946, Max Z values:,0.713728,-0.859733,,-0.044369
Average X value:,-0.020857, Average Y value:,0.984466, Average Z value:,0.224049, Max X values:,0.604834,-0.859733, Max Y values:,1.01819,0.94946, Max Z values:,0.604834,-0.859733,,-0.036216
Average X value:,-0.089483, Average Y value:,0.984496, Average Z value:,0.222865, Max X values:,0.604834,-0.859733, Max Y values:,1.01819,0.94946, Max Z values:,0.604834,-0.859733,,-0.027538
Average X value:,-0.160404, Average Y value:,0.983178, Average Z value:,0.221205, Max X values:,0.569188,-0.859733, Max Y values:,1.01819,0.94946, Max Z values:,0.569188,-0.859733,,-0.017308
Average X value:,-0.223817, Average Y value:,0.982848, Average Z value:,0.222505, Max X values:,0.498382,-0.859733, Max Y values:,1.01819,0.94946, Max Z values:,0.498382,-0.859733,,-0.006665
Average X value:,-0.275597, Average Y value:,0.982018, Average Z value:,0.225246, Max X values:,0.47946,-0.859733, Max Y values:,1.017091,0.94946, Max Z values:,0.47946,-0.859733,,0.004112
Average X value:,-0.319264, Average Y value:,0.981951, Average Z value:,0.227114, Max X values:,0.445767,-0.859733, Max Y values:,1.017091,0.94946, Max Z values:,0.445767,-0.859733,,0.014574
Average X value:,-0.356211, Average Y value:,0.982928, Average Z value:,0.227211, Max X values:,0.351889,-0.859733, Max Y values:,1.017091,0.94946, Max Z values:,0.351889,-0.859733,,0.024348
Average X value:,-0.383666, Average Y value:,0.982195, Average Z value:,0.225459, Max X values:,0.294513,-0.859733, Max Y values:,1.017091,0.94946, Max Z values:,0.294513,-0.859733,,0.03234
Average X value:,-0.40365, Average Y value:,0.982622, Average Z value:,0.222792, Max X values:,0.208326,-0.859733, Max Y values:,1.017091,0.94946, Max Z values:,0.208326,-0.859733,,0.037961
Average X value:,-0.416218, Average Y value:,0.983581, Average Z value:,0.220436, Max X values:,0.095404,-0.859733, Max Y values:,1.03113,0.94946, Max Z values:,0.095404,-0.859733,,0.043134
Average X value:,-0.417951, Average Y value:,0.981408, Average Z value:,0.218464, Max X values:,0.060734,-0.859733, Max Y values:,1.03113,0.933101, Max Z values:,0.060734,-0.859733,,0.047712
Average X value:,-0.409485, Average Y value:,0.977227, Average Z value:,0.217036, Max X values:,0.160349,-0.859733, Max Y values:,1.03113,0.933101, Max Z values:,0.160349,-0.859733,,0.052287
Average X value:,-0.391241, Average Y value:,0.98015, Average Z value:,0.218245, Max X values:,0.276933,-0.859733, Max Y values:,1.03113,0.933101, Max Z values:,0.276933,-0.859733,,0.055515
Average X value:,-0.363303, Average Y value:,0.978173, Average Z value:,0.220186, Max X values:,0.367759,-0.859733, Max Y values:,1.03113,0.928951, Max Z values:,0.367759,-0.859733,,0.05758
Average X value:,-0.321803, Average Y value:,0.976036, Average Z value:,0.222206, Max X values:,0.515229,-0.859733, Max Y values:,1.03113,0.928951, Max Z values:,0.515229,-0.859733,,0.057961
Average X value:,-0.267472, Average Y value:,0.975285, Average Z value:,0.224843, Max X values:,0.62986,-0.859733, Max Y values:,1.03113,0.928951, Max Z values:,0.62986,-0.859733,,0.056109
Average X value:,-0.206281, Average Y value:,0.977782, Average Z value:,0.225703, Max X values:,0.702497,-0.859733, Max Y values:,1.03113,0.928951, Max Z values:,0.702497,-0.859733,,0.053075
Average X value:,-0.138735, Average Y value:,0.978588, Average Z value:,0.226698, Max X values:,0.734969,-0.859733, Max Y values:,1.03113,0.928951, Max Z values:,0.734969,-0.859733,,0.049344
Average X value:,-0.065299, Average Y value:,0.979393, Average Z value:,0.225911, Max X values:,0.736922,-0.859733, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.859733,,0.04498
Average X value:,0.006348, Average Y value:,0.980956, Average Z value:,0.226448, Max X values:,0.736922,-0.813587, Max Y values:,1.03113,0.928951, Max Z values:,0.736922,-0.813587,,0.040229
