You entered a buffer length of 100,x_100_up,,y_100_up,,z_100_up,,,,,,,,,
Average X value:,0.039871, Average Y value:,0.996582, Average Z value:,0.215509, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.301227,-0.182934
Average X value:,0.0403, Average Y value:,1.003209, Average Z value:,0.216509, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.301227,-0.182934
Average X value:,0.042111, Average Y value:,1.010092, Average Z value:,0.218607, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.301227,-0.182934
Average X value:,0.043076, Average Y value:,1.016008, Average Z value:,0.219512, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.301227,-0.182934
Average X value:,0.043134, Average Y value:,1.021985, Average Z value:,0.217217, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.301227,-0.182934
Average X value:,0.042924, Average Y value:,1.027211, Average Z value:,0.214563, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.301227,-0.182934
Average X value:,0.044513, Average Y value:,1.03263, Average Z value:,0.212244, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.301227,-0.182934
Average X value:,0.043711, Average Y value:,1.035109, Average Z value:,0.209649, Max X values:,0.289507,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.289507,-0.182934
Average X value:,0.043496, Average Y value:,1.036062, Average Z value:,0.207601, Max X values:,0.289507,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.289507,-0.182934
Average X value:,0.04404, Average Y value:,1.03669, Average Z value:,0.205775, Max X values:,0.289507,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.289507,-0.182934
Average X value:,0.044137, Average Y value:,1.036095, Average Z value:,0.204221, Max X values:,0.289507,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.289507,-0.182934
Average X value:,0.043213, Average Y value:,1.034057, Average Z value:,0.203194, Max X values:,0.281694,-0.182934, Max Y values:,2.472868,-0.020448, Max Z values:,0.281694,-0.182934
Average X value:,0.042595, Average Y value:,1.031999, Average Z value:,0.202964, Max X values:,0.281694,-0.182934, Max Y values:,2.472014,-0.020448, Max Z values:,0.281694,-0.182934
Average X value:,0.041437, Average Y value:,1.029896, Average Z value:,0.202498, Max X values:,0.281694,-0.182934, Max Y values:,2.435024,-0.020448, Max Z values:,0.281694,-0.182934
Average X value:,0.039688, Average Y value:,1.027184, Average Z value:,0.201647, Max X values:,0.265824,-0.182934, Max Y values:,2.330159,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.038517, Average Y value:,1.024301, Average Z value:,0.200884, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.037985, Average Y value:,1.020605, Average Z value:,0.200486, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.038512, Average Y value:,1.016408, Average Z value:,0.200848, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.039094, Average Y value:,1.012219, Average Z value:,0.201304, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.038976, Average Y value:,1.008478, Average Z value:,0.201238, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.037634, Average Y value:,1.005236, Average Z value:,0.200504, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.035711, Average Y value:,1.002178, Average Z value:,0.199291, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.034221, Average Y value:,0.998526, Average Z value:,0.198241, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.033181, Average Y value:,0.994553, Average Z value:,0.197764, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.032353, Average Y value:,0.990187, Average Z value:,0.197809, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.031685, Average Y value:,0.985592, Average Z value:,0.19824, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.0314, Average Y value:,0.981346, Average Z value:,0.199268, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.030872, Average Y value:,0.977623, Average Z value:,0.200065, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.029286, Average Y value:,0.974008, Average Z value:,0.200662, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.027565, Average Y value:,0.971043, Average Z value:,0.201642, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.026593, Average Y value:,0.968836, Average Z value:,0.202418, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.026707, Average Y value:,0.967121, Average Z value:,0.202864, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.027055, Average Y value:,0.965932, Average Z value:,0.203079, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.027127, Average Y value:,0.96531, Average Z value:,0.202824, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
