time,src,dest,bytes,next,unack,cwnd,ssthresh,send window,rtt,rcw window
60.30830201,10.10.1.2:59230,10.10.2.1:5001,32,0xee39257e,0xee38a366,23,21,262656,812445,29312
60.32040399,10.10.1.2:59230,10.10.2.1:5001,32,0xee392b26,0xee38a90e,23,21,262656,814307,29312
60.33234684,10.10.1.2:59230,10.10.2.1:5001,32,0xee3930ce,0xee38aeb6,23,21,262656,815962,29312
60.34449431,10.10.1.2:59230,10.10.2.1:5001,32,0xee393676,0xee38b45e,23,21,262656,817404,29312
60.35640599,10.10.1.2:59230,10.10.2.1:5001,32,0xee393c1e,0xee38ba06,23,21,262656,818682,29312
60.36836789,10.10.1.2:59230,10.10.2.1:5001,32,0xee3941c6,0xee38bfae,23,21,262656,819781,29312
60.38030545,10.10.1.2:59230,10.10.2.1:5001,32,0xee39476e,0xee38c556,23,21,262656,820752,29312
60.39243058,10.10.1.2:59230,10.10.2.1:5001,32,0xee394d16,0xee38cafe,23,21,262656,821597,29312
60.40429093,10.10.1.2:59230,10.10.2.1:5001,32,0xee3952be,0xee38d0a6,23,21,262656,822343,29312
60.41635196,10.10.1.2:59230,10.10.2.1:5001,32,0xee395866,0xee38d64e,23,21,262656,822982,29312
60.44036003,10.10.1.2:59230,10.10.2.1:5001,32,0xee395e0e,0xee38dbf6,23,21,262656,823545,29312
60.46438159,10.10.1.2:59230,10.10.2.1:5001,32,0xee39695e,0xee38e746,23,21,262656,825551,29312
60.71612668,10.10.1.2:59230,10.10.2.1:5001,32,0xee3974ae,0xee38f296,23,21,262656,827311,29312
60.7400407,10.10.1.2:59230,10.10.2.1:5001,32,0xee397a56,0xee38f83e,23,21,262656,825841,29312
61.06386105,10.10.1.2:59230,10.10.2.1:5001,32,0xee397ffe,0xee38fde6,23,21,262656,826034,29312
61.07587804,10.10.1.2:59230,10.10.2.1:5001,32,0xee3985a6,0xee39038e,23,21,262656,826198,29312
61.08782543,10.10.1.2:59230,10.10.2.1:5001,32,0xee398b4e,0xee390936,23,21,262656,826347,29312
61.09988114,10.10.1.2:59230,10.10.2.1:5001,32,0xee3990f6,0xee390ede,23,21,262656,826477,29312
61.11176701,10.10.1.2:59230,10.10.2.1:5001,44,0xee39969e,0xee391486,23,21,262656,826592,29312
61.12384556,10.10.1.2:59230,10.10.2.1:5001,44,0xee399c46,0xee391486,23,21,262656,826679,29312
61.13580554,10.10.1.2:59230,10.10.2.1:5001,44,0xee39a1ee,0xee391486,23,21,262656,826770,29312
61.14779077,10.10.1.2:59230,10.10.2.1:5001,44,0xee39a1ee,0xee391486,22,11,262656,826862,29312
61.15986675,10.10.1.2:59230,10.10.2.1:5001,44,0xee39a1ee,0xee391486,21,11,262656,826924,29312
61.17177761,10.10.1.2:59230,10.10.2.1:5001,44,0xee39a796,0xee391486,21,11,262656,826998,29312
61.18374835,10.10.1.2:59230,10.10.2.1:5001,44,0xee39a796,0xee391486,20,11,262656,827033,29312
61.19583517,10.10.1.2:59230,10.10.2.1:5001,44,0xee39ad3e,0xee391486,20,11,262656,827071,29312
61.20768369,10.10.1.2:59230,10.10.2.1:5001,44,0xee39ad3e,0xee391486,19,11,262656,827120,29312
61.21981561,10.10.1.2:59230,10.10.2.1:5001,44,0xee39b2e6,0xee391486,19,11,262656,827151,29312
61.23173793,10.10.1.2:59230,10.10.2.1:5001,44,0xee39b2e6,0xee391486,18,11,262656,827179,29312
61.2437414,10.10.1.2:59230,10.10.2.1:5001,44,0xee39b88e,0xee391486,18,11,262656,827212,29312
61.25575253,10.10.1.2:59230,10.10.2.1:5001,44,0xee39b88e,0xee391486,17,11,262656,827234,29312
61.26774057,10.10.1.2:59230,10.10.2.1:5001,44,0xee39be36,0xee391486,17,11,262656,825753,29312
61.27985258,10.10.1.2:59230,10.10.2.1:5001,44,0xee39be36,0xee391486,16,11,262656,825955,29312
61.2917444,10.10.1.2:59230,10.10.2.1:5001,44,0xee39c3de,0xee391486,16,11,262656,824644,29312
61.47166789,10.10.1.2:59230,10.10.2.1:5001,44,0xee39c3de,0xee391486,15,11,262656,824983,29312
61.49562889,10.10.1.2:59230,10.10.2.1:5001,44,0xee39c986,0xee391486,15,11,262656,816302,29312
61.77146771,10.10.1.2:59230,10.10.2.1:5001,44,0xee39c986,0xee391486,14,11,262656,808713,29312
61.78350567,10.10.1.2:59230,10.10.2.1:5001,44,0xee39cf2e,0xee391486,14,11,262656,796075,29312
61.79543983,10.10.1.2:59230,10.10.2.1:5001,44,0xee39cf2e,0xee391486,13,11,262656,785018,29312
61.807436,10.10.1.2:59230,10.10.2.1:5001,44,0xee39d4d6,0xee391486,13,11,262656,775342,29312
61.8194534,10.10.1.2:59230,10.10.2.1:5001,44,0xee39d4d6,0xee391486,12,11,262656,766868,29312
61.83142962,10.10.1.2:59230,10.10.2.1:5001,44,0xee39d4d6,0xee391486,11,11,262656,759470,29312
61.84336676,10.10.1.2:59230,10.10.2.1:5001,32,0xee39da7e,0xee391486,11,11,262656,752984,29312
61.85538036,10.10.1.2:59230,10.10.2.1:5001,32,0xee39e5ce,0xee39a1ee,13,11,226560,747361,29312
61.86739972,10.10.1.2:59230,10.10.2.1:5001,32,0xee39f11e,0xee39a796,13,11,262656,740878,29312
61.87933626,10.10.1.2:59230,10.10.2.1:5001,32,0xee39f6c6,0xee39ad3e,13,11,262656,733724,29312
61.89140849,10.10.1.2:59230,10.10.2.1:5001,32,0xee39fc6e,0xee39b2e6,13,11,262656,725964,29312
61.90341806,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a0216,0xee39b88e,13,11,262656,717677,29312
61.91512293,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a07be,0xee39be36,13,11,262656,708924,29312
62.07129752,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a0d66,0xee39c3de,13,11,262656,699716,29312
62.27506642,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a130e,0xee39c986,13,11,262656,687204,29312
62.28707923,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a18b6,0xee39cf2e,13,11,262656,664252,29312
62.29904094,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a1e5e,0xee39d4d6,13,11,262656,642675,29312
62.31105404,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a29ae,0xee39da7e,14,11,262656,620790,29312
62.32312225,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a2f56,0xee39e026,14,11,262656,601651,29312
62.33501969,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a34fe,0xee39e5ce,14,11,262656,586413,29312
62.3469275,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a3aa6,0xee39eb76,14,11,262656,573066,29312
62.35905581,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a404e,0xee39f11e,14,11,262656,562875,29312
62.38302062,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a45f6,0xee39f6c6,14,11,262656,553972,29312
